INFO   | jvm 1    | 2013/07/09 15:50:35 | [keyTyped]: 9
STATUS | wrapper  | 2013/07/09 15:50:39 | <-- Wrapper Stopped
WARN   | wrapper  | 2013/07/09 15:50:41 | Unable to write to the configured log directory: ..\logs (A rendszer nem találja a megadott elérési utat. (0x3))
WARN   | wrapper  | 2013/07/09 15:50:41 |   The directory does not exist.
WARN   | wrapper  | 2013/07/09 15:50:41 | Unable to write to the configured log file: ..\logs\wrapper.log (A rendszer nem találja a megadott elérési utat. (0x3))
WARN   | wrapper  | 2013/07/09 15:50:41 |   Falling back to the default file in the current working directory: wrapper.log
STATUS | wrapper  | 2013/07/09 15:50:41 | --> Wrapper Started as Console
STATUS | wrapper  | 2013/07/09 15:50:41 | Java Service Wrapper Community Edition 64-bit 3.5.7
STATUS | wrapper  | 2013/07/09 15:50:41 |   Copyright (C) 1999-2010 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2013/07/09 15:50:41 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2013/07/09 15:50:41 | 
STATUS | wrapper  | 2013/07/09 15:50:41 | Launching a JVM...
INFO   | jvm 1    | 2013/07/09 15:50:42 | WrapperManager: Initializing...
INFO   | jvm 1    | 2013/07/09 15:50:42 | C:\CSIKI\PROGRAMING\Java\ProjectWaifu\Waifu\img\chatbubble.png
INFO   | jvm 1    | 2013/07/09 15:50:42 | builded
INFO   | jvm 1    | 2013/07/09 15:50:44 | [keyTyped]: 27
INFO   | jvm 1    | 2013/07/09 15:50:45 | [keyTyped]: 160
INFO   | jvm 1    | 2013/07/09 15:50:47 | started
STATUS | wrapper  | 2013/07/09 15:50:53 | <-- Wrapper Stopped
WARN   | wrapper  | 2013/07/09 15:51:32 | Unable to write to the configured log directory: ..\logs (A rendszer nem találja a megadott elérési utat. (0x3))
WARN   | wrapper  | 2013/07/09 15:51:32 |   The directory does not exist.
WARN   | wrapper  | 2013/07/09 15:51:32 | Unable to write to the configured log file: ..\logs\wrapper.log (A rendszer nem találja a megadott elérési utat. (0x3))
WARN   | wrapper  | 2013/07/09 15:51:32 |   Falling back to the default file in the current working directory: wrapper.log
STATUS | wrapper  | 2013/07/09 15:51:32 | --> Wrapper Started as Console
STATUS | wrapper  | 2013/07/09 15:51:32 | Java Service Wrapper Community Edition 64-bit 3.5.7
STATUS | wrapper  | 2013/07/09 15:51:32 |   Copyright (C) 1999-2010 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2013/07/09 15:51:32 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2013/07/09 15:51:32 | 
STATUS | wrapper  | 2013/07/09 15:51:32 | Launching a JVM...
INFO   | jvm 1    | 2013/07/09 15:51:32 | WrapperManager: Initializing...
INFO   | jvm 1    | 2013/07/09 15:51:32 | C:\CSIKI\PROGRAMING\Java\ProjectWaifu\Waifu\img\chatbubble.png
INFO   | jvm 1    | 2013/07/09 15:51:33 | builded
INFO   | jvm 1    | 2013/07/09 15:51:35 | [keyTyped]: 27
INFO   | jvm 1    | 2013/07/09 15:51:35 | [keyTyped]: 160
INFO   | jvm 1    | 2013/07/09 15:51:38 | started
INFO   | jvm 1    | 2013/07/09 15:51:40 | [keyTyped]: 87
INFO   | jvm 1    | 2013/07/09 15:51:40 | [keyTyped]: 65
STATUS | wrapper  | 2013/07/09 15:51:50 | <-- Wrapper Stopped
